molecule,method,retention time
alpha pinene,new processing method,6.47
sabinene,new processing method,7.11
beta pinene,new processing method,7.18
myrcene,new processing method,7.35
d3 carene,new processing method,7.73
P-cymene,new processing method,7.93
limonene,new processing method,8.02
Eucalyptol,new processing method,8.06
nonanal,new processing method,9.15
camphor,new processing method,9.88
MeSA,new processing method,10.603
nonyl acetate,new processing method,12.11
beta caryophyllene,new processing method,13.79
aromandrene,new processing method,14.06
